"MAE","sample_idx"
1.8477439880371094e-06,979
1.7285346984863281e-06,445
1.6987323760986328e-06,120
1.6689300537109375e-06,715
1.6391277313232422e-06,887
1.5795230865478516e-06,658
1.5795230865478516e-06,129
1.5497207641601562e-06,452
1.5497207641601562e-06,314
1.5497207641601562e-06,711
1.519918441772461e-06,89
1.4901161193847656e-06,961
1.4901161193847656e-06,478
1.4901161193847656e-06,642
1.4603137969970703e-06,515
1.4603137969970703e-06,851
1.430511474609375e-06,485
1.430511474609375e-06,425
1.430511474609375e-06,718
1.430511474609375e-06,939
1.430511474609375e-06,614
1.4007091522216797e-06,465
1.4007091522216797e-06,204
1.3709068298339844e-06,883
1.3709068298339844e-06,443
1.3709068298339844e-06,17
1.3709068298339844e-06,363
1.341104507446289e-06,583
1.3113021850585938e-06,503
1.3113021850585938e-06,832
1.3113021850585938e-06,93
1.2814998626708984e-06,342
1.2814998626708984e-06,398
1.2516975402832031e-06,50
1.2516975402832031e-06,313
1.2516975402832031e-06,740
1.2218952178955078e-06,80
1.2218952178955078e-06,822
1.2218952178955078e-06,719
1.2218952178955078e-06,528
1.2218952178955078e-06,962
1.1920928955078125e-06,11
1.1920928955078125e-06,861
1.1920928955078125e-06,660
1.1920928955078125e-06,431
1.1920928955078125e-06,167
1.1920928955078125e-06,561
1.1920928955078125e-06,576
1.1622905731201172e-06,137
1.1622905731201172e-06,931
1.1622905731201172e-06,590
1.1324882507324219e-06,446
1.1324882507324219e-06,323
1.1324882507324219e-06,551
1.1324882507324219e-06,762
1.1324882507324219e-06,290
1.1324882507324219e-06,969
1.1324882507324219e-06,459
1.1324882507324219e-06,625
1.1324882507324219e-06,778
1.1324882507324219e-06,766
1.1324882507324219e-06,556
1.1324882507324219e-06,648
1.1324882507324219e-06,285
1.1324882507324219e-06,275
1.1026859283447266e-06,203
1.1026859283447266e-06,763
1.0728836059570312e-06,223
1.0728836059570312e-06,283
1.0728836059570312e-06,423
1.0728836059570312e-06,263
1.0728836059570312e-06,318
1.0728836059570312e-06,214
1.0728836059570312e-06,917
1.043081283569336e-06,731
1.0132789611816406e-06,207
1.0132789611816406e-06,650
1.0132789611816406e-06,923
1.0132789611816406e-06,14
1.0132789611816406e-06,782
1.0132789611816406e-06,154
1.0132789611816406e-06,733
1.0132789611816406e-06,414
1.0132789611816406e-06,128
1.0132789611816406e-06,724
1.0132789611816406e-06,620
1.0132789611816406e-06,303
9.834766387939453e-07,869
9.834766387939453e-07,905
9.834766387939453e-07,180
9.834766387939453e-07,530
9.834766387939453e-07,739
9.5367431640625e-07,253
9.5367431640625e-07,174
9.5367431640625e-07,182
9.5367431640625e-07,872
9.5367431640625e-07,773
9.5367431640625e-07,774
9.5367431640625e-07,321
9.5367431640625e-07,753
